Dairy,Raw Milk,E/100 kg,3194,ES
Dairy,Butter,E/100 kg,53840,ES
Dairy,Emmental,E/100 kg,96574,ES
Dairy,Edam,E/100 kg,81207,ES
Dairy,Skimmed milk powder,E/100 kg,21188,ES
Dairy,Raw Milk,E/100 kg,3220,UK
Dairy,Skimmed milk powder,E/100 kg,13529,UK
Dairy,Butter,E/100 kg,46126,UK
Dairy,Cheddar,E/100 kg,32191,UK
Dairy,Raw Milk,E/100 kg,3245,UK
Dairy,Butter,E/100 kg,43775,UK
Dairy,Whey Powder,E/100 kg,59808,UK
Meat,Male Bovines,E/100 kg,39212,ES
Meat,Pigmeat Superior,E/100 kg,13114,ES
Meat,Cows,E/100 kg,23156,ES
Meat,Lamb Heavy,E/100 kg,61741,ES
Meat,Piglets,E/100 kg,5571,ES
Meat,Pigmeat Excellent,E/100 kg,12652,ES
Meat,Young Bulls,E/100 kg,39815,ES
Meat,Heifers,E/100 kg,39767,ES
Meat,Young Bovines,E/100 kg,39828,ES
Meat,Chicken,E/100 kg,15980,ES
Meat,Eggs,E/100 kg,11660,ES
Meat,Young Bulls,E/100 kg,39655,UK
Meat,Steers,E/100 kg,41118,UK
Meat,Cows,E/100 kg,31991,UK
Meat,Heifers,E/100 kg,41175,UK
Meat,Young Bovines,E/100 kg,40530,UK
Meat,Chicken,E/100 kg,15396,UK
Meat,Eggs,E/100 kg,10410,UK
Meat,Lamb Heavy,E/100 kg,58198,UK
Meat,Pigmeat Good,E/100 kg,15139,UK
Meat,Male Bovines,E/100 kg,40856,UK
Meat,Piglets,E/100 kg,5702,UK
Meat,Pigmeat Excellent,E/100 kg,16310,UK
Fruit,Lemons,E/100 kg,9634,ES
Fruit,Strawberries,E/100 kg,22038,ES
Fruit,Mandarins,E/100 kg,11622,ES
Fruit,Avocados,E/100 kg,31500,ES
Fruit,Pears,E/100 kg,7743,ES
Fruit,Apples Fuji,E/100 kg,9953,ES
Fruit,Apples Golden,E/100 kg,7200,ES
Fruit,Apples Granny,E/100 kg,6209,ES
Fruit,Apples Red,E/100 kg,7079,ES
Fruit,Clementines,E/100 kg,6092,ES
Fruit,Strawberries,E/100 kg,17609,UK
Vegetables,Garlic,E/100 kg,18000,ES
Vegetables,Eggplants,E/100 kg,3336,ES
Vegetables,Mushrooms,E/100 kg,21361,ES
Vegetables,Carrots,E/100 kg,2500,ES
Vegetables,Mushrooms,E/100 kg,21361,ES
Vegetables,Cucumbers,E/100 kg,3969,ES
Vegetables,Courgettes,E/100 kg,5734,ES
Vegetables,Lettuces,E/100 kg,1300,ES
Vegetables,Lettuces,E/100 kg,5791,UK
Vegetables,Tomatoes Cherry,E/100 kg,15241,ES
Vegetables,Tomatoes Cherry,E/100 kg,17070,UK
Vegetables,Tomatoes Trusses,E/100 kg,6545,ES
Vegetables,Tomatoes Round,E/100 kg,5946,ES
Vegetables,Cucumbers,E/100 kg,8295,ES
Vegetables,Leeks,E/100 kg,6500,ES
Vegetables,Carrots,E/100 kg,3123,UK
Vegetables,Onions,E/100 kg,3624,UK
Vegetables,Onions,E/100 kg,2498,ES
Vegetables,Mushrooms,E/100 kg,18967,UK
Vegetables,Mushrooms,E/100 kg,14643,ES
Vegetables,Cauliflowers,E/100 kg,1909,ES
Vegetables,Asparagus,E/100 kg,26250,ES
Vegetables,Peppers,E/100 kg,12500,ES
Vegetables,Onions,E/100 kg,724,UK
